invert_x,norm_row_y,head,soilMUSYM,soilkSat_1,soilOM_R_1
79,58,478.9905,,0,0
80,58,478.8554,,0,0
81,58,478.7234,,0,0
82,58,478.5907,,0,0
83,58,478.4601,,0,0
84,58,478.3288,,0,0
85,58,478.192,,0,0
86,58,478.0526,,0,0
87,58,477.9156,,0,0
88,58,477.7738,,0,0
89,58,477.6313,,0,0
90,58,477.4911,,0,0
91,58,477.352,,0,0
92,58,477.212,,0,0
93,58,477.071,,0,0
94,58,476.9312,,0,0
95,58,476.7937,,0,0
96,58,476.6568,,0,0
97,58,476.5215,,0,0
98,58,476.3871,,0,0
99,58,476.2461,,0,0
100,58,476.105,,0,0
101,58,475.9638,,0,0
102,58,475.8222,,0,0
103,58,475.686,,0,0
106,58,475.2771,,0,0
107,58,475.1293,,0,0
109,58,474.8363,,0,0
0,57,486.6165,,0,0
1,57,486.5914,,0,0
2,57,486.5643,,0,0
3,57,486.5365,,0,0
4,57,486.508,,0,0
5,57,486.481,,0,0
6,57,486.4569,,0,0
7,57,486.4323,,0,0
8,57,486.407,,0,0
9,57,486.3833,,0,0
10,57,486.3576,,0,0
11,57,486.3313,,0,0
12,57,486.3026,,0,0
13,57,486.2708,,0,0
14,57,486.2366,,0,0
15,57,486.1989,,0,0
16,57,486.1598,,0,0
17,57,486.1176,,0,0
18,57,486.0734,,0,0
19,57,486.0256,,0,0
20,57,485.9748,,0,0
21,57,485.9221,,0,0
22,57,485.8659,,0,0
23,57,485.8069,,0,0
24,57,485.7451,,0,0
25,57,485.6813,,0,0
26,57,485.6149,,0,0
27,57,485.5464,,0,0
28,57,485.4752,,0,0
29,57,485.4015,,0,0
30,57,485.3255,,0,0
31,57,485.247,,0,0
32,57,485.1664,,0,0
33,57,485.0823,,0,0
34,57,484.9918,,0,0
35,57,484.8977,,0,0
36,57,484.8013,,0,0
37,57,484.7007,,0,0
38,57,484.5963,,0,0
39,57,484.4899,,0,0
40,57,484.3801,,0,0
41,57,484.265,,0,0
42,57,484.1466,,0,0
43,57,484.0269,,0,0
44,57,483.9091,,0,0
45,57,483.7884,,0,0
46,57,483.6672,,0,0
47,57,483.5436,,0,0
48,57,483.4187,,0,0
49,57,483.2938,,0,0
50,57,483.1621,,0,0
51,57,483.0284,,0,0
52,57,482.898,,0,0
53,57,482.7644,,0,0
54,57,482.6293,,0,0
55,57,482.4938,,0,0
56,57,482.3561,,0,0
58,57,482.0942,,0,0
59,57,481.9773,,0,0
60,57,481.8734,,0,0
61,57,481.7932,,0,0
62,57,481.7568,,0,0
63,57,481.6776,,0,0
64,57,481.6173,,0,0
65,57,481.3511,,0,0
66,57,481.0775,,0,0
67,57,480.8033,,0,0
68,57,480.5308,,0,0
69,57,480.2497,,0,0
70,57,479.9628,,0,0
71,57,479.783,,0,0
72,57,479.6665,,0,0
73,57,479.578,,0,0
74,57,479.5027,,0,0
75,57,479.4295,,0,0
76,57,479.3351,,0,0
77,57,479.1979,,0,0
78,57,479.0631,,0,0
79,57,478.9281,,0,0
80,57,478.793,,0,0
81,57,478.6587,,0,0
82,57,478.5233,,0,0
83,57,478.3888,,0,0
84,57,478.2513,,0,0
85,57,478.1103,,0,0
86,57,477.9693,,0,0
87,57,477.8309,,0,0
88,57,477.6895,,0,0
89,57,477.5475,,0,0
90,57,477.407,,0,0
91,57,477.2671,,0,0
92,57,477.1258,,0,0
93,57,476.983,,0,0
94,57,476.8416,,0,0
95,57,476.7033,,0,0
96,57,476.5665,,0,0
97,57,476.4286,,0,0
99,57,476.1483,,0,0
100,57,476.008,,0,0
101,57,475.8665,,0,0
102,57,475.7262,,0,0
103,57,475.591,,0,0
104,57,475.4564,,0,0
105,57,475.3181,,0,0
106,57,475.1714,,0,0
107,57,475.0246,,0,0
108,57,474.8755,,0,0
109,57,474.7301,,0,0
0,56,486.5694,,0,0
1,56,486.5418,,0,0
2,56,486.5112,,0,0
3,56,486.4792,,0,0
4,56,486.4486,,0,0
5,56,486.4227,,0,0
6,56,486.3992,,0,0
8,56,486.3548,,0,0
9,56,486.3333,,0,0
10,56,486.3108,,0,0
11,56,486.287,,0,0
13,56,486.2292,,0,0
14,56,486.1946,,0,0
15,56,486.1563,,0,0
16,56,486.1171,,0,0
17,56,486.0757,,0,0
19,56,485.9832,,0,0
20,56,485.9328,,0,0
21,56,485.8796,,0,0
22,56,485.8232,,0,0
23,56,485.7645,,0,0
24,56,485.7032,,0,0
25,56,485.6388,,0,0
26,56,485.5721,,0,0
27,56,485.5034,,0,0
28,56,485.4317,,0,0
29,56,485.3577,,0,0
30,56,485.2811,,0,0
31,56,485.2023,,0,0
32,56,485.1213,,0,0
33,56,485.0367,,0,0
34,56,484.9468,,0,0
35,56,484.8534,,0,0
36,56,484.7575,,0,0
37,56,484.654,,0,0
38,56,484.5466,,0,0
39,56,484.4368,,0,0
40,56,484.3228,,0,0
41,56,484.2047,,0,0
42,56,484.0869,,0,0
43,56,483.968,,0,0
44,56,483.8507,,0,0
45,56,483.7318,,0,0
46,56,483.6074,,0,0
47,56,483.482,,0,0
48,56,483.3583,,0,0
49,56,483.233,,0,0
50,56,483.1026,,0,0
51,56,482.9732,,0,0
52,56,482.8437,,0,0
53,56,482.7091,,0,0
54,56,482.5694,,0,0
55,56,482.4313,,0,0
56,56,482.296,,0,0
57,56,482.1677,,0,0
58,56,482.037,,0,0
59,56,481.9171,,0,0
60,56,481.8087,,0,0
61,56,481.7123,,0,0
63,56,481.5283,,0,0
64,56,481.4041,,0,0
65,56,481.1876,,0,0
66,56,480.9442,,0,0
67,56,480.6886,,0,0
68,56,480.4252,,0,0
69,56,480.1567,,0,0
70,56,479.8856,,0,0
71,56,479.7199,,0,0
72,56,479.6086,,0,0
73,56,479.5193,,0,0
74,56,479.4393,,0,0
75,56,479.3597,,0,0
76,56,479.2594,,0,0
77,56,479.1268,,0,0
78,56,478.9954,,0,0
79,56,478.8622,,0,0
80,56,478.7266,,0,0
81,56,478.59,,0,0
82,56,478.4515,,0,0
83,56,478.3112,,0,0
84,56,478.1687,,0,0
85,56,478.0259,,0,0
86,56,477.8838,,0,0
87,56,477.7438,,0,0
88,56,477.602,,0,0
89,56,477.4604,,0,0
90,56,477.32,,0,0
91,56,477.1791,,0,0
92,56,477.0363,,0,0
93,56,476.8924,,0,0
94,56,476.7496,,0,0
95,56,476.6095,,0,0
96,56,476.4719,,0,0
97,56,476.3324,,0,0
98,56,476.1893,,0,0
99,56,476.0468,,0,0
100,56,475.9055,,0,0
101,56,475.7647,,0,0
102,56,475.6239,,0,0
103,56,475.4853,,0,0
104,56,475.3462,,0,0
105,56,475.2064,,0,0
106,56,475.0638,,0,0
107,56,474.9192,,0,0
108,56,474.7715,,0,0
109,56,474.622,,0,0
1,55,486.4888,,0,0
2,55,486.455,,0,0
3,55,486.4188,,0,0
4,55,486.386,,0,0
5,55,486.3617,,0,0
6,55,486.3393,,0,0
7,55,486.3182,,0,0
8,55,486.303,,0,0
9,55,486.2866,,0,0
10,55,486.2673,,0,0
11,55,486.2444,,0,0
12,55,486.2172,,0,0
13,55,486.1852,,0,0
14,55,486.1505,,0,0
15,55,486.1122,,0,0
16,55,486.0729,,0,0
17,55,486.032,,0,0
18,55,485.9869,,0,0
19,55,485.9388,,0,0
20,55,485.8884,,0,0
21,55,485.8353,,0,0
22,55,485.7789,,0,0
23,55,485.7199,,0,0
24,55,485.6582,,0,0
25,55,485.5938,,0,0
26,55,485.527,,0,0
27,55,485.4572,,0,0
28,55,485.3849,,0,0
29,55,485.3105,,0,0
30,55,485.2334,,0,0
31,55,485.1552,,0,0
32,55,485.0748,,0,0
33,55,484.9902,,0,0
34,55,484.9004,,0,0
35,55,484.806,,0,0
36,55,484.7078,,0,0
37,55,484.6021,,0,0
38,55,484.4937,,0,0
39,55,484.3785,,0,0
40,55,484.2609,,0,0
41,55,484.1439,,0,0
42,55,484.0257,,0,0
43,55,483.9048,,0,0
44,55,483.7871,,0,0
45,55,483.6663,,0,0
46,55,483.5413,,0,0
47,55,483.4138,,0,0
48,55,483.2898,,0,0
49,55,483.166,,0,0
50,55,483.041,,0,0
51,55,482.9124,,0,0
52,55,482.7842,,0,0
53,55,482.6445,,0,0
54,55,482.5047,,0,0
55,55,482.3662,,0,0
56,55,482.2309,,0,0
57,55,482.1045,,0,0
58,55,481.9684,,0,0
59,55,481.8416,,0,0
60,55,481.7211,,0,0
61,55,481.6046,,0,0
62,55,481.4936,,0,0
63,55,481.3653,,0,0
64,55,481.2174,,0,0
65,55,481.0309,,0,0
66,55,480.8132,,0,0
67,55,480.5767,,0,0
68,55,480.3316,,0,0
69,55,480.0842,,0,0
70,55,479.8332,,0,0
71,55,479.6663,,0,0
72,55,479.5483,,0,0
73,55,479.4523,,0,0
74,55,479.3656,,0,0
75,55,479.2802,,0,0
76,55,479.1786,,0,0
77,55,479.0534,,0,0
78,55,478.9258,,0,0
79,55,478.7949,,0,0
80,55,478.6574,,0,0
81,55,478.5157,,0,0
82,55,478.3733,,0,0
83,55,478.2296,,0,0
84,55,478.0844,,0,0
85,55,477.9394,,0,0
86,55,477.7953,,0,0
87,55,477.654,,0,0
88,55,477.5121,,0,0
89,55,477.3703,,0,0
90,55,477.2289,,0,0
91,55,477.0872,,0,0
93,55,476.7993,,0,0
94,55,476.6564,,0,0
95,55,476.5152,,0,0
96,55,476.3748,,0,0
97,55,476.2323,,0,0
98,55,476.0872,,0,0
99,55,475.9419,,0,0
100,55,475.8011,,0,0
101,55,475.6595,,0,0
102,55,475.5163,,0,0
103,55,475.3757,,0,0
104,55,475.236,,0,0
105,55,475.0966,,0,0
106,55,474.9555,,0,0
107,55,474.8119,,0,0
109,55,474.5088,,0,0
0,54,486.4651,,0,0
1,54,486.4354,,0,0
2,54,486.4,,0,0
